Text,Polarity,Insight
From a top jc also and had the same experience when working in banquet during the hols lol the attitude towards me was just disgusting Its how our society works The elite look down on the weak Its legit fucked up and its worse when people try to defend that there is no discrimination or social ranks in singapore LMAO fucking joke,-0.10883838383838383,Negative
This is so true After my Os i worked FB to get some extra money So many elite parents mentioned to their children how they have to work hard if not they will have to be like me When one finally said it straight to my face i raised my eyebrow and said Im a scholar at top boys school and Im waiting for my O level results The look on her face was priceless ,0.28229166666666666,Positive
I had this experiences as a retail assistant after Os and during vacation during Poly I worked as retail just to occupy my time instead of staying at home doing nothing I hid all my reactions when parents say those to me sometimes just raising my eye a little but not too obvious even though some of them caught my eye reaction but they continue saying those elite stuff to their kid ,-0.09375,Negative
I meanwould you like to see your child doing something during the holidays or just see them staying at home daydreaming all day during vacation If i didnt confirm with them what they wanted and gave them the wrong stuff  wouldnt i be in more trouble and they would start scolding me even more And im not super woman so i do not know everything I cant read their minds ,0.026666666666666665,Positive
If they in the years to come tell their child go work somewhere during holidays so you wont do nothing at home and their child later complains that there was another parent who said study hard or you will become like himher to their child that to me is a taste of their own medicine ,0.10277777777777776,Positive
Where else can we were besides mostly service industry after Os or during poly vacation without work experience Thats where your child would evantually be starting out without work experience too i believe ,0.25,Positive
The world could really do well to emphasize the importance of labor and retail jobs during formative years Even the elites or rather especially the elites could benefit from a summer job taking flack from the general public This could be applied to people of all ages as well not just teenagers ,0.0625,Positive
Adults are just grown up kids with more money One thing Ive learned growing up is that there will always be cunts in this world If they dont harm me I wont be starting shit though I just make the best of my own life and let them be Or maybe Im already speaking from a privileged position ,0.38,Positive
Elite sec sch and JC alumnus ,-0.1,Negative
I dont know who you are but Im already proud of you for your post I hope that ifwhen you get into Singapores elite youll still have this level of empathy for people,0.8,Positive
A small corrective to your post the different schools dont really sort people based on a fixed intelligence The debate goes on and on but,0.012500000000000004,Positive
 The data clearly shows that early inequalities in life often compound over time rather than average out affecting everything from differences in health and incarceration rates to success in school and all other aspects of life To use another sports example in his book Outliers 2008 the Canadian journalist Malcolm Gladwell documents the rather strange fact that there are more players in the National Hockey League born in January February and March than any other months His explanation is that in Canada where children start playing hockey at a very young age the eligibility cutoff for ageclass hockey programmes is January 1 At the ages of six and seven being 10 or 11 months older gives one a distinct advantage over ones competitors Since the older players tend to do better they end up getting more playing time and as they progress through the ranks they are selected for better teams and more elite programmes receive better coaching and play more games against better competition What begins as a small advantage a mere matter of luck snowballs and leads to an everwidening gap of achievement and success ,0.19833333333333333,Positive
 from httpsaeoncoessaysonfreewilldanieldennettandgreggcarusogoheadtohead,0.0,Neutral
I understand that elite schools exist to separate children of different levels of intelligence,0.0,Neutral
Mostly just to separate rich kids from the not so rich ones in most of the world ,0.4375,Positive
i gotta say kudos to you,0.0,Neutral
working outside in an environment like this it helps a lot as an eye opener once you remove the label of an elite school student how will others view you,0.0,Neutral
If you want to know what a mans like take a good look at how he treats his inferiors not his equals  ,0.7,Positive
Sirius Black,-0.16666666666666666,Negative
ninja edit or how he treats people that he thinks is his inferior,0.0,Neutral
anyways all the best to you and hope you get into the school you want,1.0,Positive
x200B,0.0,Neutral
I am alot older I was from an elite sch too In my generation we were mostly poor I worked in factories hawker centers and retail every school holiday before uni when I was growing up I want to say to OP that this builds emotional resilience which is the most impt quality to have later on in life Life is tough in so many ways,0.05396825396825396,Positive
My children were from elite schools but I encouraged them to work too before uni They did FnB and gave flyers at MRT My daughter worked in the expo last yr and experienced being cheated by her boss I find these experiences invaluable,0.4,Positive
I am hoping this thread gets noticed I hope there will be a movement to get students in Singapore to work say after Sec 4 in service jobs Perhaps for a month in that year perhaps as part of the sch term They shd be mixed with students from different schools and streams It wld be best if they were similarly attired so there is no dressing up or down,0.12407407407407407,Positive
I am encouraged by the response of young people here Your generation can try to make a difference Say thank you at the hawker centre greet the security guard treat others well,0.1,Positive
Im emberrassed to say that I also can have the attitude that some of the parents have in this story Dont get me wrong Im only 16 but coming from an elite or good school the mentality of these arrogant aholes really do make an impression,0.09999999999999999,Positive
Ive never been particularly smart so Ive always had to work really hard to maintain my above average intellect so when I was accepted into my current school well its an understatement to say I was ecstatic But to then enroll only to find out some of the other rich kid students got in only because the parents knew some staff I was and still am pissed And now Ive spent so much time with these people that the way they talk about commoners have begun infecting my speech during talks,0.011147186147186145,Positive
 I am already losing previously good friends due to this and will probably lose them for good if I do not manage to get rid of this terrible speech habit so it sickens me to then find out these parents then go on to brag about their sucsesful kids to others,0.06874999999999998,Positive
The worst part is I live in one of the most fair and equal countries there are but even here there exists elitists,0.06727272727272726,Positive
