Text,Polarity,Insight
We still have the elite Ah Girls,0.0,Neutral
They deeply believe elites create elite kids Hence they believe its more likely elite familys will produce the top talents They only want the top as scholars Its more of a selection program than tool for promoting upward mobility Look at parliament and you have your answer Im not sure why everyone feels a sense of injustice here when we vote for this model every 5 years without fail ,0.1388888888888889,Positive
Until you have representation from all parts of society making policy this shit will be the default,-0.2,Negative
Maybe its deliberate reproduction of privilege Maybe its to placate the existing elites historically speaking theyre most likely to effectively revolt But theres certainly an element of elitism in the sense that elite families produce elite children if LKYs beliefs are any indication,0.26285714285714284,Positive
Truth is it was never about your health or covid It is truly a big fuck you to all of us The elites consider us useless eaters Their minions enforcing all this bullshit are useful idiots The pandemic was planned covid is a cold flu The numbers spiked in certain cities because of remdesivir and similar drugs with no other treatment early protocols allowed People were put on ventilators which led to their demise ,-0.16232142857142856,Negative
Search on Odysee or duck duck go great reset world economic forum planet lockdown film Dale Bigtree Stew Peters for more info See telegram groups SGVaccineInjuries httpstmeSG Covid Discussions httpstmemrn_death ,0.5,Positive
Hospitals were incentivised to  link deaths including accidents and gunshots to covid when the highly inaccurate easily manipulated PCR test showed positive,0.2735353535353536,Positive
The overall deaths for all causes are the same with other years ,-0.041666666666666664,Negative
The vaccine is now creating trillions of spike proteins They tell the immune system to only focus on a particular strain known as antibody dependent enhancement The ones that escape mutate in the vaxxed and shed as new variants Now  we all need boosters for at least 8 more times 50 percent were given placebos so not everyone dies or is maimed from vaccine all at once Boosters will allow the kill shots to work more gradually How the spikes will cause micro clots only detectable by a ddiner test These clots will eventually build up,0.14329004329004327,Positive
The thing is I hope Im wrong,-0.5,Negative
Lao uncle scold MP gets jail bribery by elites gets stern warning,-0.1,Negative
Get out of my elite uncaring face,0.0,Neutral
Not all upperclasselites live in ivory towers and support the regime ,0.13636363636363635,Positive
All the elites send their children there We are a country controlled by a small group of people,-0.25,Negative
They tryna kill off ACS as an elite school ,0.0,Neutral
The last top 10 elite school that got moved all the way to the West was RVHS back in 2010 ,0.16666666666666666,Positive
Since then its no longer spoken of as being an elite school in SG anymore,0.0,Neutral
For a selfproclaimed at least from the way you try so hard to portray yourself and the fact that you have beef against conservatives  progressive liberal who seems to be aginst intolerance and toxicity your comment history is shockingly TOXIC and full of BIGOTRY,-0.3104166666666667,Negative
Here are some fine examples from this epitome of a progressive TAKE NOTE SINKIES ,0.4166666666666667,Positive
Look you stupid little coolie the shittiest little pedophile of them all and the most famous Singaporean of them all is Amos Yee and last time I checked he was straight Thats what Singapore is famous for  exporting pedo filth overseas while beta cucks like you jerk off in your one room flats Truth is your elite women are married to billionaires or foreign expats with dicks 10x your pathetic coolie PPs and who wouldnt let you near them cos you stink Go fuck yourself,-0.049999999999999996,Negative
Nah Sinkies are just 3rd gen coolies that China didnt want and their women all want foreign men cos their men are so fucking ugly,-0.27499999999999997,Negative
Yeah lol Singaporeans are the filthiest scum perverts and literally all their young people are leaving the country because of toxic cesspool filth like you A net exporter of filth like Amos Yee exported overseas and you have the hypocrisy to pretend you are so moral go take a good look at your little coolie face in the mirror Remember that Sinkies are coolies Sinkies are filth Absolute trash,0.16406249999999997,Positive
Yeah your coolie culture isnt worth shit Youre the real trash,0.09999999999999999,Positive
 Filth Sinkie coolie go fuck yourself,-0.4,Negative
 Filthy little Sinkie coolie descendant,-0.49375,Negative
Sinkie coolie Sinkie coolie nasty filthy Sinkie coolie scum of the earth filth of the earth nasty stinky filthy coolie,-0.78,Negative
Go fuck your self Sinkie coolie filth,-0.4,Negative
Remember guys he is a a staunch LIBERAL against HATE and BIGOTRY,-0.8,Negative
If this is what a leftleaning progressive is like deep down inside without any social filters on ,-0.04074074074074075,Negative
Uhh ask yourselves why white trash like you are constantly advocating for degeneracy and then ask yourselves again why your sex crime rates are skyhigh ,0.0,Neutral
Besides you constantly see white men being on the news for pedo charges especially amongst members of the church and the elites ,0.0,Neutral
Apparently it applies to peasants like you too ,0.05,Positive
the key is to be born in angmoh country so the accent can pass off and have some knowledge of angmoh country the area and culture can flex to the peasants that one is an angmoh elite,0.0,Neutral
Model pap citizen Dont complain pls continue slaving away for the elites Dont forget to vote PAP and attend their rallies for free chicken rice,-0.09999999999999998,Negative
You go see the pro pap Facebook page all against the elites and rich paying more tax because its unfair,0.125,Positive
Not always I have definitely met rich people who worked their way up and are still in touch as well as rich bornelites who are in total bubbles,0.1875,Positive
Agreed Its never who you lost Its how you lost them ,0.0,Neutral
I didnt have many to begin with My loss wasnt from losing friends  but losing my identity as being part of an elite educational stream in an elite school 2017 was the year I finally snapped when I learned the truth through my own experience the SG education system is a huge indoctrinating joke and nobody in its truly free or independent minded or critical thinking only that theyre taught what theyre told tested what theyre told and they think theyre good because they aced said tests academically,0.28500000000000003,Positive
Well it works in the short term but paying more to make it lucrative to locals makes it more worthwhile in the long term Sure taxes will increase but as a result it builds a society where you can still make a living even if youre not highly educated,0.2671428571428571,Positive
Some might wonder why we should even cater for them Aiming for a good life should be a motivation to get higher studies right But you see a society is made up not only of academic achievers but people with all strengths and weaknesses People with different economic backgrounds People who cant afford to attend higher education There needs to be options in place at every level to at least be able to live pay rent feed family Construction work is one of those,0.18382526564344745,Positive
